t,x,y
65.6,0.0129145,6.38933e+06
65.7,0.0129569,6.3894e+06
65.8,0.0129994,6.38946e+06
65.9,0.0130419,6.38953e+06
66,0.0130845,6.38959e+06
66.1,0.0131272,6.38966e+06
66.2,0.01317,6.38973e+06
66.3,0.0132128,6.38979e+06
66.4,0.0132558,6.38986e+06
66.5,0.0132988,6.38993e+06
66.6,0.0133419,6.38999e+06
66.7,0.0133851,6.39006e+06
66.8,0.0134284,6.39013e+06
66.9,0.0134717,6.39019e+06
67,0.0135152,6.39026e+06
67.1,0.0135587,6.39033e+06
67.2,0.0136023,6.39039e+06
67.3,0.0136459,6.39046e+06
67.4,0.0136897,6.39053e+06
67.5,0.0137335,6.3906e+06
67.6,0.0137775,6.39067e+06
67.7,0.0138215,6.39074e+06
67.8,0.0138655,6.3908e+06
67.9,0.0139097,6.39087e+06
68,0.013954,6.39094e+06
68.1,0.0139983,6.39101e+06
68.2,0.0140427,6.39108e+06
68.3,0.0140872,6.39115e+06
68.4,0.0141318,6.39122e+06
68.5,0.0141764,6.39129e+06
68.6,0.0142212,6.39136e+06
68.7,0.014266,6.39143e+06
68.8,0.0143109,6.3915e+06
68.9,0.0143559,6.39157e+06
69,0.014401,6.39164e+06
69.1,0.0144461,6.39171e+06
69.2,0.0144914,6.39178e+06
69.3,0.0145367,6.39185e+06
69.4,0.0145821,6.39192e+06
69.5,0.0146276,6.39199e+06
69.6,0.0146732,6.39206e+06
69.7,0.0147188,6.39213e+06
69.8,0.0147646,6.39221e+06
69.9,0.0148104,6.39228e+06
70,0.0148563,6.39235e+06
70.1,0.0149023,6.39242e+06
70.2,0.0149484,6.39249e+06
70.3,0.0149945,6.39257e+06
70.4,0.0150408,6.39264e+06
70.5,0.0150871,6.39271e+06
70.6,0.0151335,6.39278e+06
70.7,0.01518,6.39286e+06
70.8,0.0152266,6.39293e+06
70.9,0.0152733,6.393e+06
71,0.01532,6.39308e+06
71.1,0.0153668,6.39315e+06
